"Address A,Address B,Packets,Bytes,Stream ID,Packets A ? B,Bytes A ? B,Packets B ? A,Bytes B ? A,Rel Start,Duration,Bits/s A ? B,Bits/s B ? A"
"0.0.0.0,""255.255.255.255"",10,3240,25,10,3240,0,0,3.223378,19.041178,1361,0"
"172.16.8.79,""172.16.15.9"",2,132,9,2,132,0,0,0.825172,8.010071,131,0"
"172.16.9.30,""172.16.15.123"",4,232,50,2,120,2,112,6.241616,4.3563920000000005,220,205"
"172.16.9.41,""172.16.15.3"",2,132,28,2,132,0,0,3.348321,8.005991999999999,131,0"
"172.16.9.48,""172.16.15.145"",2,132,24,2,132,0,0,3.201187,8.002668,131,0"
"172.16.9.160,""172.16.15.123"",4,232,53,2,120,2,112,6.357984,4.240532999999999,226,211"
"172.16.9.164,""172.16.15.3"",1,66,38,1,66,0,0,4.761169,0,"""","""""
"172.16.9.165,""172.16.15.40"",5,330,2,5,330,0,0,0.068863,15.025174,175,0"
"172.16.9.169,""172.16.15.40"",3,198,98,3,198,0,0,12.5129,6.009641,263,0"
"172.16.9.207,""172.16.15.123"",8,549,10,5,375,3,174,0.998488,0.0046040000000000525,"""","""""
"172.16.10.134,""172.16.15.3"",3,198,16,3,198,0,0,1.53675,12.0137,131,0"
"172.16.10.134,""172.16.15.11"",4,264,11,4,264,0,0,1.084116,15.013664,140,0"
"172.16.11.39,""172.16.15.100"",5,330,33,5,330,0,0,4.384783,15.029873000000002,175,0"
"172.16.12.167,""172.16.15.145"",4,264,60,4,264,0,0,7.537893,15.029233000000001,140,0"
"172.16.13.249,""172.16.15.105"",1,66,40,1,66,0,0,5.113588,0,"""","""""
"172.16.15.54,""224.0.0.251"",1,82,123,1,82,0,0,22.432359,0,"""","""""
"172.16.15.66,""224.0.0.251"",4,333,68,4,333,0,0,8.76395,11.637483000000001,228,0"
"172.16.15.95,""172.16.15.255"",1,243,118,1,243,0,0,20.5469,0,"""","""""
"172.16.15.96,""172.16.15.255"",1,243,116,1,243,0,0,20.383491,0,"""","""""
"172.16.15.111,""172.16.15.255"",1,243,104,1,243,0,0,14.676393000000001,0,"""","""""
"172.16.15.116,""172.16.15.255"",1,243,113,1,243,0,0,17.823508,0,"""","""""
"172.16.15.123,""23.65.124.99"",75,41301,37,36,26669,39,14632,4.755225,6.730514,31699,17391"
"172.16.15.123,""40.126.17.132"",22,17053,34,8,6049,14,11004,4.393199,0.25801499999999944,187554,341189"
"172.16.15.123,""104.18.21.213"",188,243645,57,26,1538,162,242107,6.833173,0.08908699999999925,138112,21741174"
