"Protocol,""Percent Packets"",""Packets"",""Percent Bytes"",""Bytes"",""Bits/s"",""End Packets"",""End Bytes"",""End Bits/s"",""PDUs"""
"Frame,100,923,100,459819,160225.22601639814,0,0,0,923"
"Ethernet,100,923,3.163418649512091,14546,5068.594681025637,0,0,0,923"
"Logical-Link Control,1.3001083423618636,12,0.02087778017002342,96,33.45147046462678,0,0,0,12"
"Spanning Tree Protocol,1.3001083423618636,12,0.10960834589262297,504,175.62021993929062,12,504,175.62021993929062,12"
"Link Layer Discovery Protocol,0.10834236186348863,1,0.03305648526920375,152,52.96482823565907,1,152,52.96482823565907,1"
"Internet Protocol Version 6,1.408450704225352,13,0.1130879759209602,520,181.1954650167284,0,0,0,13"
"User Datagram Protocol,1.408450704225352,13,0.02261759518419204,104,36.23909300334568,0,0,0,13"
"Simple Service Discovery Protocol,0.866738894907909,8,0.8877406109795376,4082,1422.384400381318,8,4082,1422.384400381318,8"
"Multicast Domain Name System,0.5417118093174431,5,0.04458275973807085,205,71.43282755467177,5,205,71.43282755467177,5"
"Internet Protocol Version 4,89.5991332611051,827,3.5996772643148716,16552,5767.591032609401,0,0,0,827"
"User Datagram Protocol,20.260021668472373,187,0.3253454076495317,1496,521.285414740434,0,0,0,187"
"QUIC IETF,11.375947995666305,105,12.061267585723948,55460,19325.193249668766,105,55152,19217.869781928086,107"
"NetBIOS Datagram Service,0.866738894907909,8,0.1426648311618267,656,228.5850481749497,0,0,0,8"
"SMB (Server Message Block Protocol),0.866738894907909,8,0.2070379866860656,952,331.72708210754894,0,0,0,8"
"SMB MailSlot Protocol,0.866738894907909,8,0.043495375354215465,200,69.69056346797247,0,0,0,8"
"Microsoft Windows Browser Protocol,0.866738894907909,8,0.05741389546756441,264,91.99154377772365,8,264,91.99154377772365,8"
"Multicast Domain Name System,0.5417118093174431,5,0.04458275973807085,205,71.43282755467177,5,205,71.43282755467177,5"
"Link-local Multicast Name Resolution,0.21668472372697725,2,0.01217870509918033,56,19.51335777103229,2,56,19.51335777103229,2"
"Dynamic Host Configuration Protocol,1.0834236186348862,10,0.613284792494438,2820,982.6369448984118,10,2820,982.6369448984118,10"
"Domain Name System,1.3001083423618636,12,0.2261759518419204,1040,362.3909300334568,12,1040,362.3909300334568,12"
"Data,4.8754062838569885,45,6.29225847561758,28933,10081.785364094236,45,28933,10081.785364094236,45"
"Transmission Control Protocol,68.14734561213434,629,3.3178272320195554,15256,5315.996181336939,555,13776,4800.286011673943,629"
"Transport Layer Security,2.7085590465872156,25,17.529723652132688,80605,28087.039341679603,25,80319,27987.3818359204,26"
"Microsoft Delivery Optimization,4.550379198266522,42,0.08285869004978046,381,132.76052340648755,42,381,132.76052340648755,42"
"Hypertext Transfer Protocol,0.21668472372697725,2,0.17137177889560892,788,274.58082006381153,2,788,274.58082006381153,2"
"Domain Name System,0.4333694474539545,4,0.1533211981236095,705,245.65923622460295,4,705,245.65923622460295,4"
"Data,0.10834236186348863,1,0.00021747687677107732,1,0.34845281733986233,1,1,0.34845281733986233,1"
"Internet Group Management Protocol,0.3250270855904659,3,0.006959260056674474,32,11.150490154875595,3,32,11.150490154875595,3"
"Internet Control Message Protocol,0.866738894907909,8,0.06959260056674474,320,111.50490154875594,8,320,111.50490154875594,8"
"Address Resolution Protocol,7.583965330444204,70,0.42625467847131154,1960,682.9675219861301,70,1960,682.9675219861301,70"
